"Localidade";"Decretos";"Ementa";"Tipo";"Tipo_Documento"
"Brasil";"Medida Provisória nº 961, de 6.5.2020Publicado no DOU de 7.5.2020";"Autoriza pagamentos antecipados nas licitações e nos contratos, adequa os limites de dispensa de licitação e amplia o uso do Regime Diferenciado de Contratações Públicas - RDC durante o estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020.";"Federal";"Medida"
"Brasil";"Portaria nº 1.111, de 5.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado do Ceará Município de Fortaleza.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.109, de 5.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado Estados do Amazonas, Goiás, Espírito Santo, Maranhão, Distrito Federal, Mato Grosso, Pernambuco, Amapá, Rondônia e Sergipe.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.093, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19, do Hospital José Maria Morais, e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado de Minas Gerais e Município de Coronel Fabriciano.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.092, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto e Pediátrico Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado do Rio Grande do Norte e Município de Natal.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.091, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado de Pernambuco e Município de Jaboatão dos Guararapes.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.089, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos de Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado de São Paulo e Municípios.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.088, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado da Paraíba e Municípios.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.087, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado do Piauí Município de Parnaíba.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.086, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto e Pediátrico Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado do Piauí e Município de Teresina.";"Federal";"Portaria"
"Brasil";"Portaria nº 1.085, de 4.5.2020Publicada no DOU de 6.5.2020 - Edição extra";"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado da Paraíba.";"Federal";"Portaria"
"Brasil";"Lei nº 13.995, de 5.5.2020 Publicada no DOU de 6.5.2020";"Dispõe sobre a prestação de auxílio financeiro pela União às santas casas e hospitais filantrópicos, sem fins lucrativos, que participam de forma complementar do Sistema Único de Saúde (SUS), no exercício de 2020, com o objetivo de permitir-lhes atuar de forma coordenada no combate à pandemia da Covid-19.";"Federal";"Lei"
"Brasil";"Medida Provisória nº 960, de 30.4.2020 Publicada no DOU de 4.5.2020";"Prorroga os prazos de suspensão de pagamentos de tributos previstos nos atos concessórios do regime especial de drawback, que tenham sido prorrogados por um ano pela autoridade fiscal e tenham termo em 2020.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 959, de 29.4.2020Publicada no DOU de 29.4.2020 - Edição extra";"Estabelece a operacionalização do pagamento do Benefício Emergencial de Preservação do Emprego e da Renda e do benefício emergencial mensal de que trata a Medida Provisória nº 936, de 1º de abril de 2020, e prorroga a vacatio legis da Lei nº 13.709, de 14 de agosto de 2018, que estabelece a Lei Geral de Proteção de Dados Pessoais - LGPD.";"Federal";"Medida"
"Brasil";"Portaria nº 204, de 29.4.2020Publicada no DOU de 29.4.2020 - Edição extra";"Dispõe sobre a restrição excepcional e temporária de entrada no País de estrangeiros, de qualquer nacionalidade, por via terrestre, conforme recomendação da Agência Nacional de Vigilância Sanitária - Anvisa.";"Federal";"Portaria"
"Brasil";"Decreto nº 10.329, de 28.4.2020Publicada no DOU de 29.4.2020";"Altera o Decreto nº 10.282, de 20 de março de 2020, que regulamenta a Lei nº 13.979, de 6 de fevereiro de 2020, para definir os serviços públicos e as atividades essenciais.";"Federal";"Decreto"
"Brasil";"Portaria nº 203, de 28.4.2020Publicada no DOU de 28.4.2020 - Edição extra";"Dispõe sobre a restrição excepcional e temporária de entrada no País de estrangeiros, por via aérea, conforme recomendação da Agência Nacional de Vigilância Sanitária - Anvisa.";"Federal";"Portaria"
"Brasil";"Portaria nº 201, de 24.4.2020Publicada no DOU de 24.4.2020 - Edição extra";"Dispõe sobre a restrição excepcional e temporária de entrada no País de estrangeiros, por transporte aquaviário, conforme recomendação da Agência Nacional de Vigilância Sanitária - Anvisa.";"Federal";"Portaria"
"Brasil";"Medida Provisória nº 958, de 24.4.2020Publicada no DOU de 27.4.2020";"Estabelece normas para a facilitação do acesso ao crédito e mitigação dos impactos econômicos decorrentes da pandemia de coronavírus (covid-19).";"Federal";"Medida"
"Brasil";"Medida Provisória nº 957, de 24.4.2020Publicada no DOU de 27.4.2020";"Abre crédito extraordinário, em favor do Ministério da Cidadania, no valor de R$ 500.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 956, de 24.4.2020Publicada no DOU de 24.4.2020 - Edição extra";"Abre crédito extraordinário, em favor do Ministério da Cidadania, no valor de R$ 25.720.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Lei nº 13.993, de 23.4.2020 Publicada no DOU de 24.4.2020";"Dispõe sobre a proibição de exportações de produtos médicos, hospitalares e de higiene essenciais ao combate à epidemia de coronavírus no Brasil.";"Federal";"Lei"
"Brasil";"Lei nº 13.992, de 22.4.2020 Publicada no DOU de 23.4.2020";"Suspende por 120 (cento e vinte) dias, a contar de 1º de março do corrente ano, a obrigatoriedade da manutenção das metas quantitativas e qualitativas contratualizadas pelos prestadores de serviço de saúde no âmbito do Sistema Único de Saúde (SUS).";"Federal";"Lei"
"Brasil";"Decreto nº 10.324, de 22.4.2020 Publicada no DOU de 23.4.2020";"Altera o Decreto nº 10.249, de 19 de fevereiro de 2020, que dispõe sobre a programação orçamentária e financeira e estabelece o cronograma mensal de desembolso do Poder Executivo federal para o exercício de 2020.";"Federal";"Decreto"
"Brasil";"Resolução nº 160, de 17.4.2020Publicada no DOU de 20.4.2020";"Estabelece diretrizes para as reuniões do Plenário do Comitê Gestor da Infraestrutura de Chaves Públicas Brasileira – ICP-Brasil (CG ICP-Brasil) durante o estado de emergência de saúde pública de importância internacional decorrente do coronavírus (COVID-19).";"Federal";"Resolução"
"Brasil";"Medida Provisória nº 954, de 17.4.2020 Publicada no DOU de 17.4.2020 - Edição extra";"Dispõe sobre o compartilhamento de dados por empresas de telecomunicações prestadoras de Serviço Telefônico Fixo Comutado e de Serviço Móvel Pessoal com a Fundação Instituto Brasileiro de Geografia e Estatística, para fins de suporte à produção estatística oficial durante a situação de emergência de saúde pública de importância internacional decorrente do coronavírus (covid-19), de que trata a Lei nº 13.979, de 6 de fevereiro de 2020.";"Federal";"Medida"
"Brasil";"Recomendação nº 01, de 16.4.2020Publicada no DOU de 17.4.2020 - Edição extra";"Dispõe sobre cuidados a crianças e adolescentes com medida protetiva de acolhimento, no contexto de transmissão comunitária do novo Coronavírus (Covid-19), em todo o território nacional e dá outras providências.";"Federal";"Recomendação"
"Brasil";"Resolução nº 373, de 16.4.2020Publicada no DOU de 17.4.2020 - Edição extra";"Altera o art. 29 da Resolução de Diretoria Colegiada - RDC nº 72, de 29 de dezembro de 2009 que dispõe sobre o Regulamento Técnico que visa à promoção da saúde nos portos de controle sanitário instalados em território nacional, e embarcações que por eles transitem durante a Emergência de Saúde Pública de Importância Internacional (ESPII) COVID-19.";"Federal";"Resolução"
"Brasil";"Lei Complementar nº 172, de 15.4.2020 Publicada no DOU de 16.4.2020";"Dispõe sobre a transposição e a transferência de saldos financeiros constantes dos Fundos de Saúde dos Estados, do Distrito Federal e dos Municípios, provenientes de repasses federais.";"Federal";"Lei"
"Brasil";"Lei nº 13.989, de 15.4.2020 Publicada no DOU de 16.4.2020";"Dispõe sobre o uso da telemedicina durante a crise causada pelo coronavírus (SARS-CoV-2). Mensagem de veto";"Federal";"Lei"
"Brasil";"Medida Provisória nº 953, de 15.4.2020 Publicada no DOU de 16.4.2020";"Abre crédito extraordinário em favor do Ministério da Cidadania, no valor de R$ 2.550.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 952, de 15.4.2020Publicada no DOU de 15.4.2020 - Edição extra";"Dispõe sobre a prorrogação do prazo para pagamento de tributos incidentes sobre a prestação de serviços de telecomunicações.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 951, de 15.4.2020Publicada no DOU de 15.4.2020 - Edição extra";"Estabelece normas sobre compras públicas, sanções em matéria de licitação e certificação digital e dá outras providências.";"Federal";"Medida"
"Brasil";"Resolução nº 02, de 14.4.2020Publicada no DOU de 15.4.2020";"Altera a Resolução nº 1, de 13 de abril de 2020, para dispor sobre a composição do Grupo de Trabalho para a Coordenação de Ações Estruturantes e Estratégicas para Recuperação, Crescimento e Desenvolvimento do País, no âmbito do Comitê de Crise da Covid-19.";"Federal";"Resolução"
"Brasil";"Resolução nº 01, de 13.4.2020Publicada no DOU de 14.4.2020";"Institui o Grupo de Trabalho para a Coordenação de Ações Estruturantes e Estratégicas para Recuperação, Crescimento e Desenvolvimento do País, no âmbito do Comitê de Crise da Covid-19.";"Federal";"Resolução"
"Brasil";"Resolução nº 370, de 13.4.2020Publicada no DOU de 13.4.2020 -Edição extra";"Altera a Resolução de Diretoria Colegiada - RDC n° 352, de 20 de março de 2020, que dispõe sobre a autorização prévia para fins de exportação de matéria-prima, produto semi-elaborado, produto a granel ou produto farmacêutico acabado destinados ao combate da COVID-19.";"Federal";"Resolução"
"Brasil";"Decreto nº 10.318, de 9.4.2020Publicada no DOU de 9.4.2020 -Edição extra";"Reduz temporariamente as alíquotas da Contribuição para o PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins incidentes sobre os produtos que menciona.";"Federal";"Decreto"
"Brasil";"Portaria nº 758, de 9.4.2020Publicada no DOU de 9.4.2020 -Edição extra";"Define o procedimento para o registro obrigatório de internações hospitalares dos casos suspeitos e confirmados de COVID-19, nos estabelecimentos de saúde públicos e privados que prestam serviços no SUS.";"Federal";"Portaria"
"Brasil";"Medida Provisória nº 950, de 8.4.2020 Publicada no DOU de 8.4.2020 - Edição extra";"Dispõe sobre medidas temporárias emergenciais destinadas ao setor elétrico para enfrentamento do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência de saúde pública de importância internacional decorrente da pandemia de coronavírus (covid-19).";"Federal";"Medida"
"Brasil";"Medida Provisória nº 949, de 8.4.2020 Publicada no DOU de 8.4.2020 - Edição extra";"Abre crédito extraordinário, em favor do Ministério de Minas e Energia, no valor de R$ 900.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 948, de 8.4.2020Publicada no DOU de 8.4.2020 -Edição extra";"Dispõe sobre o cancelamento de serviços, de reservas e de eventos dos setores de turismo e cultura em razão do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência de saúde pública de importância internacional decorrente do coronavírus (covid-19).";"Federal";"Medida"
"Brasil";"Medida Provisória nº 947, de 8.4.2020 Publicada no DOU de 8.4.2020 - Edição extra";"Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 2.600.000.000,00, para os fins que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 946, de 7.4.2020 Publicada no DOU de 7.4.2020 - Edição extra";"Extingue o Fundo PIS-Pasep, instituído pela Lei Complementar nº 26, de 11 de setembro de 1975, transfere o seu patrimônio para o Fundo de Garantia do Tempo de Serviço, e dá outras providências.";"Federal";"Medida"
"Brasil";"Lei nº 13.987, de 7.4.2020 Publicada no DOU de 7.4.2020 - Edição extra";"Altera a Lei nº 11.947, de 16 de junho de 2009, para autorizar, em caráter excepcional, durante o período de suspensão das aulas em razão de situação de emergência ou calamidade pública, a distribuição de gêneros alimentícios adquiridos com recursos do Programa Nacional de Alimentação Escolar (Pnae) aos pais ou responsáveis dos estudantes das escolas públicas de educação básica.";"Federal";"Lei"
"Brasil";"Decreto nº 10.316, de 7.4.2020 Publicada no DOU de 7.4.2020 - Edição extra";"Regulamenta a Lei nº 13.982, de 2 de abril de 2020, que estabelece medidas excepcionais de proteção social a serem adotadas durante o período de enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (covid-19).";"Federal";"Decreto"
"Brasil";"Portaria nº 9.471, de 7.4.2020Publicada no DOU de 8.4.2020";"Estabelece medida extraordinária e temporária quanto à comercialização de Equipamentos de Proteção Individual - EPI de proteção respiratória para o enfrentamento da emergência de saúde pública decorrente do Coronavírus (COVID-19). (Processo nº 19966.100318/2020-61).";"Federal";"Portaria"
"Brasil";"Instrução normativa nº 4, de 7.4.2020Publicada no DOU de 7.4.2020 -Edição extra";"Estabelece critérios para a comprovação do poder de representação legal, para fins de renovação de certificados digitais de condomínios, enquanto perdurar o estado de emergência de saúde pública de importância internacional decorrente do coronavírus (COVID-19).";"Federal";"Instrução"
"Brasil";"Decreto nº 10.315, de 6.4.2020Publicada no DOU de 7.4.2020";"Prorroga, de ofício, a vigência de instrumentos e o prazo para bloqueio dos restos a pagar de transferências voluntárias.";"Federal";"Decreto"
"Brasil";"Decreto nº 10.314, de 6.4.2020Publicada no DOU de 7.4.2020";"Altera o Decreto nº 9.764, de 11 de abril de 2019, que dispõe sobre o recebimento de doações de bens móveis e de serviços, sem ônus ou encargos, de pessoas físicas ou jurídicas de direito privado pelos órgãos e pelas entidades da administração pública federal direta, autárquica e fundacional.";"Federal";"Decreto"
"Brasil";"Medida Provisória nº 945, de 4.4.2020Publicada no DOU de 4.4.2020 - Edição extra";"Dispõe sobre medidas temporárias em resposta à pandemia decorrente da covid-19 no âmbito do setor portuário e sobre a cessão de pátios sob administração militar.";"Federal";"Medida"
"Brasil";"Decreto nº 10.312, de 4.4.2020Publicada no DOU de 4.4.2020 - Edição extra";"Amplia, temporariamente, o escopo de multiprogramaçãocom conteúdo específico destinado às atividades de educação, ciência, tecnologia, inovações, cidadania e saúde de entidades executoras de serviço de radiodifusão de sons e imagens em tecnologia digital, com fins exclusivamente educacionais ou de exploração comercial, em razão da pandemia da covid-19.";"Federal";"Decreto"
"Brasil";"Medida Provisória nº 944, de 3.4.2020Publicada no DOU de 3.4.2020 - Edição extra B";"Institui o Programa Emergencial de Suporte a Empregos.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 943, de 3.4.2020Publicada no DOU de 3.4.2020 - Edição extra B";"Abre crédito extraordinário, em favor de Operações Oficiais de Crédito, no valor de R$ 34.000.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Decreto nº 10.311, de 3.4.2020Publicado no DOU de 3.4.2020 - Edição extra - B";"Institui o Conselho de Solidariedade para Combate à Covid-19 e aos seus Efeitos Sociais e Econômicos.";"Federal";"Decreto"
"Brasil";"Instrução normativa nº 1.932, de 3.4.2020Publicada no DOU de 3.4.2020 -Edição extra-A";"Prorroga o prazo da apresentação da Declaração de Débitos e Créditos Tributários Federais (DCTF) e da Escrituração Fiscal Digital da Contribuição para o PIS/Pasep, da Contribuição para o Financiamento da Seguridade Social (Cofins) e da Contribuição Previdenciária sobre a Receita (EFD-Contribuições)";"Federal";"Instrução"
"Brasil";"Portaria nº 139, de 3.4.2020Publicada no DOU de 3.4.2020 -Edição extra-A";"Prorroga o prazo para o recolhimento de tributos federais, na situação que especifica em decorrência da pandemia relacionada ao Coronavírus.";"Federal";"Portaria"
"Brasil";"Medida Provisória nº 944, de 3.4.2020Publicada no DOU de 3.4.2020 -Edição extra-B";"Institui o Programa Emergencial de Suporte a Empregos.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 943, de 3.4.2020Publicada no DOU de 3.4.2020 -Edição extra-B";"Abre crédito extraordinário, em favor de Operações Oficiais de Crédito, no valor de R$ 34.000.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Lei nº 13.982, de 2.4.2020Publicada no DOU de 2.4.2020 -Edição extra-A";"Altera a Lei nº 8.742, de 7 de dezembro de 1993, para dispor sobre parâmetros adicionais de caracterização da situação de vulnerabilidade social para fins de elegibilidade ao benefício de prestação continuada (BPC), e estabelece medidas excepcionais de proteção social a serem adotadas durante o período de enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (Covid-19) responsável pelo surto de 2019, a que se refere a Lei nº 13.979, de 6 de fevereiro de 2020. Mensagem de veto";"Federal";"Lei"
"Brasil";"Medida Provisória nº 942, de 2.4.2020 Publicada no DOU de 2.4.2020 - Edição extra B";"Abre crédito extraordinário, em favor da Presidência da República e dos Ministérios da Educação, da Justiça e Segurança Pública, e da Mulher, da Família e dos Direitos Humanos, no valor de R$ 639.034.512,00, para os fins que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 941, de 2.4.2020 Publicada no DOU de 2.4.2020 - Edição extra B";"Abre crédito extraordinário, em favor dos Ministérios da Educação, da Saúde e da Cidadania, no valor de R$ 2.113.789.466,00, para os fins que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 940, de 2.4.2020 Publicada no DOU de 2.4.2020 - Edição extra B";"Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 9.444.373.172,00, para os fins que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 939, de 2.4.2020 Publicada no DOU de 2.4.2020 - Edição extra B";"Abre crédito extraordinário, em favor de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 16.000.000.000,00, para os fins que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 938, de 2.4.2020 Publicada no DOU de 2.4.2020 - Edição extra B";"Dispõe sobre a prestação de apoio financeiro pela União aos entes federativos que recebem recursos do Fundo de Participação dos Estados - FPE e do Fundo de Participação dos Municípios - FPM, com o objetivo de mitigar as dificuldades financeiras decorrentes do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência de saúde pública de importância internacional decorrente do coronavírus (covid-19).";"Federal";"Medida"
"Brasil";"Medida Provisória nº 937, de 2.4.2020Publicada no DOU de 2.4.2020 -Edição extra-A";"Abre crédito extraordinário, em favor do Ministério da Cidadania, no valor de R$ 98.200.000.000,00, para os fins que especifica.";"Federal";"Medida"
